PK_Mortalidad,PK_Fecha,PK_Localidad,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Muertes_CIE10_Agrupada,Muertes_CIE10_Basica
355,202309,3,26,15,11,26,26
356,202309,4,7,4,3,7,7
357,202309,5,9,4,5,9,9
358,202309,6,15,8,7,15,15
359,202309,7,10,6,4,10,10
360,202309,8,9,7,2,9,9
361,202310,1,20,12,8,20,20
362,202310,2,4,4,0,4,4
363,202310,3,24,19,5,24,24
364,202310,4,4,3,1,4,4
365,202310,5,9,6,3,9,9
366,202310,6,22,11,11,22,22
367,202310,7,11,3,8,11,11
368,202310,8,8,4,4,8,8
369,202311,1,17,9,8,17,17
370,202311,2,9,7,2,9,9
371,202311,3,21,13,8,21,21
372,202311,4,5,5,0,5,5
373,202311,5,5,4,1,5,5
374,202311,6,16,8,8,16,16
375,202311,7,7,3,4,7,7
376,202311,8,8,4,4,8,8
377,202312,1,18,12,6,18,18
378,202312,2,8,5,3,8,8
379,202312,3,22,10,12,22,22
380,202312,4,11,5,6,11,11
381,202312,5,5,4,1,5,5
382,202312,6,19,11,8,19,19
383,202312,7,7,4,3,7,7
384,202312,8,7,4,3,7,7
385,202401,1,12,8,4,12,12
386,202401,2,12,8,4,12,12
387,202401,3,35,22,13,35,35
388,202401,4,3,1,2,3,3
389,202401,5,12,10,2,12,12
390,202401,6,19,10,9,19,19
391,202401,7,8,5,3,8,8
392,202401,8,18,12,6,18,18
393,202402,1,21,11,10,21,21
394,202402,2,2,2,0,2,2
395,202402,3,13,7,6,13,13
396,202402,4,12,10,2,12,12
397,202402,5,9,5,4,9,9
398,202402,6,12,7,5,12,12
399,202402,7,7,7,0,7,7
400,202402,8,4,2,2,4,4
401,202403,1,23,12,11,23,23
402,202403,2,8,6,2,8,8
403,202403,3,25,15,10,25,25
404,202403,4,4,4,0,4,4
405,202403,5,17,8,9,17,17
406,202403,6,28,13,15,28,28
407,202403,7,6,6,0,6,6
408,202403,8,10,5,5,10,10
409,202404,1,15,7,8,15,15
410,202404,2,3,3,0,3,3
411,202404,3,26,18,8,26,26
412,202404,4,4,1,3,4,4
413,202404,5,10,4,6,10,10
414,202404,6,14,8,6,14,14
415,202404,7,8,4,4,8,8
416,202404,8,6,3,3,6,6
417,202405,1,18,9,9,18,18
418,202405,2,5,3,2,5,5
419,202405,3,17,9,8,17,17
420,202405,4,7,2,5,7,7
421,202405,5,7,4,3,7,7
422,202405,6,17,9,8,17,17
423,202405,7,10,8,2,10,10
424,202405,8,11,7,4,11,11
425,202406,1,18,10,8,18,18
426,202406,2,9,4,5,9,9
427,202406,3,25,16,9,25,25
428,202406,4,4,2,2,4,4
429,202406,5,8,4,4,8,8
430,202406,6,24,18,6,24,24
431,202406,7,8,6,2,8,8
432,202406,8,9,7,2,9,9
433,202407,1,25,15,10,25,25
434,202407,2,10,8,2,10,10
435,202407,3,23,10,13,23,23
436,202407,4,8,4,4,8,8
437,202407,5,13,10,3,13,13
438,202407,6,31,16,15,31,31
439,202407,7,15,13,2,15,15
440,202407,8,10,9,1,10,10
441,202408,1,5,2,3,5,5
442,202408,2,8,5,3,8,8
443,202408,3,21,18,3,21,21
444,202408,4,7,5,2,7,7
445,202408,5,9,6,3,9,9
446,202408,6,21,17,4,21,21
447,202408,7,8,7,1,8,8
448,202408,8,7,7,0,7,7
449,202409,1,19,8,11,19,19
450,202409,2,9,8,1,9,9
451,202409,3,21,12,9,21,21
452,202409,4,6,2,4,6,6
453,202409,5,8,7,1,8,8
454,202409,6,26,16,10,26,26
455,202409,7,9,6,3,9,9
456,202409,8,4,2,2,4,4
457,202410,1,22,16,6,22,22
458,202410,2,8,5,3,8,8
459,202410,3,25,19,6,25,25
460,202410,4,8,7,1,8,8
461,202410,5,12,9,3,12,12
462,202410,6,15,8,7,15,15
463,202410,7,11,9,2,11,11
464,202410,8,9,5,4,9,9
465,202411,1,22,14,8,22,22
466,202411,2,10,6,4,10,10
467,202411,3,23,17,6,23,23
468,202411,4,5,3,2,5,5
469,202411,5,12,6,6,12,12
470,202411,6,20,12,8,20,20
471,202411,7,13,11,2,13,13
472,202411,8,5,1,4,5,5
473,202412,1,19,10,9,19,19
474,202412,2,7,5,2,7,7
475,202412,3,26,15,11,26,26
476,202412,4,11,8,3,11,11
477,202412,5,9,5,4,9,9
478,202412,6,25,19,6,25,25
479,202412,7,11,8,3,11,11
480,202412,8,9,5,4,9,9
481,202501,1,11,8,3,11,11
482,202501,2,3,2,1,3,3
483,202501,3,24,14,10,24,24
484,202501,4,6,3,3,6,6
485,202501,5,15,9,6,15,15
486,202501,6,22,14,8,22,22
487,202501,7,13,7,6,13,13
488,202501,8,9,6,3,9,9
489,202502,1,19,11,8,19,19
490,202502,2,5,3,2,5,5
491,202502,3,19,14,5,19,19
492,202502,4,4,4,0,4,4
493,202502,5,12,4,8,12,12
494,202502,6,21,14,7,21,21
495,202502,7,5,3,2,5,5
496,202502,8,6,4,2,6,6
