PK_Tasa,PK_Fecha,PK_Localidad,FK_Mortalidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres,Muertes_Totales,Muertes_Totales_Hombres,Muertes_Totales_Mujeres,Tasa_Mortalidad_Total,Tasa_Mortalidad_Hombres,Tasa_Mortalidad_Mujeres,Tasa_Total_100k,Tasa_Hombres_100k,Tasa_Mujeres_100k
217,202204,1,217,659992.0,324114.0,335878.0,24,20,4,3.6364077140328975e-05,6.170668345088456e-05,1.1909086037192076e-05,3.6364077140328974,6.170668345088456,1.1909086037192076
218,202204,2,218,390261.0,184113.0,206148.0,6,3,3,1.537432641232406e-05,1.6294340975379252e-05,1.4552651493102043e-05,1.537432641232406,1.6294340975379253,1.4552651493102042
219,202204,3,219,1069465.0,513826.0,555639.0,29,16,13,2.7116361919277397e-05,3.1138945868834976e-05,2.3396485847825656e-05,2.71163619192774,3.1138945868834975,2.3396485847825654
220,202204,4,220,252491.0,123378.0,129113.0,7,5,2,2.7723760450867555e-05,4.052586360615345e-05,1.5490306940432024e-05,2.7723760450867556,4.052586360615345,1.5490306940432024
221,202204,5,221,401520.0,194001.0,207519.0,14,8,6,3.486750348675035e-05,4.123690084071732e-05,2.8913015193789483e-05,3.486750348675035,4.123690084071732,2.891301519378948
222,202204,6,222,1239208.0,588067.0,651141.0,27,17,10,2.178810982498499e-05,2.8908270656234748e-05,1.5357656790157585e-05,2.1788109824984994,2.890827065623475,1.5357656790157586
223,202204,7,223,572346.0,264113.0,308233.0,14,11,3,2.4460728300713204e-05,4.1648839701188504e-05,9.732896866980499e-06,2.4460728300713206,4.164883970118851,0.9732896866980499
224,202204,8,224,392872.0,192020.0,200852.0,10,7,3,2.5453582846321447e-05,3.645453598583481e-05,1.4936371059287435e-05,2.5453582846321448,3.645453598583481,1.4936371059287434
225,202205,1,225,659992.0,324114.0,335878.0,17,10,7,2.575788797439969e-05,3.085334172544228e-05,2.0840900565086134e-05,2.575788797439969,3.085334172544228,2.0840900565086136
226,202205,2,226,390261.0,184113.0,206148.0,7,4,3,1.7936714147711405e-05,2.1725787967172335e-05,1.4552651493102043e-05,1.7936714147711406,2.1725787967172336,1.4552651493102042
227,202205,3,227,1069465.0,513826.0,555639.0,28,19,9,2.6181314956543694e-05,3.697749821924153e-05,1.619756712541776e-05,2.6181314956543695,3.697749821924153,1.6197567125417762
228,202205,4,228,252491.0,123378.0,129113.0,8,5,3,3.168429765813435e-05,4.052586360615345e-05,2.3235460410648036e-05,3.168429765813435,4.052586360615345,2.3235460410648034
229,202205,5,229,401520.0,194001.0,207519.0,10,7,3,2.4905359633393106e-05,3.608228823562765e-05,1.4456507596894742e-05,2.4905359633393105,3.608228823562765,1.445650759689474
230,202205,6,230,1239208.0,588067.0,651141.0,30,15,15,2.4209010916649988e-05,2.550729763785419e-05,2.3036485185236376e-05,2.420901091664999,2.550729763785419,2.3036485185236377
231,202205,7,231,572346.0,264113.0,308233.0,14,6,8,2.4460728300713204e-05,2.2717548927921004e-05,2.595439164528133e-05,2.4460728300713206,2.2717548927921003,2.5954391645281327
232,202205,8,232,392872.0,192020.0,200852.0,15,5,10,3.818037426948217e-05,2.603895427559629e-05,4.978790353095812e-05,3.818037426948217,2.603895427559629,4.978790353095811
233,202206,1,233,659992.0,324114.0,335878.0,17,12,5,2.575788797439969e-05,3.702401007053074e-05,1.4886357546490095e-05,2.575788797439969,3.7024010070530737,1.4886357546490094
234,202206,2,234,390261.0,184113.0,206148.0,6,4,2,1.537432641232406e-05,2.1725787967172335e-05,9.701767662068028e-06,1.537432641232406,2.1725787967172336,0.9701767662068028
235,202206,3,235,1069465.0,513826.0,555639.0,34,18,16,3.1791596732945915e-05,3.503131410243935e-05,2.8795674889631578e-05,3.1791596732945915,3.5031314102439346,2.8795674889631577
236,202206,4,236,252491.0,123378.0,129113.0,9,2,7,3.564483486540114e-05,1.6210345442461378e-05,5.421607429151209e-05,3.564483486540114,1.6210345442461378,5.421607429151209
237,202206,5,237,401520.0,194001.0,207519.0,18,9,9,4.482964734010759e-05,4.639151344580698e-05,4.336952279068423e-05,4.482964734010759,4.639151344580698,4.336952279068423
238,202206,6,238,1239208.0,588067.0,651141.0,24,12,12,1.9367208733319992e-05,2.0405838110283352e-05,1.8429188148189102e-05,1.9367208733319992,2.040583811028335,1.8429188148189102
239,202206,7,239,572346.0,264113.0,308233.0,15,8,7,2.6207923179335577e-05,3.0290065237228003e-05,2.2710092689621164e-05,2.620792317933558,3.0290065237228005,2.2710092689621164
240,202206,8,240,392872.0,192020.0,200852.0,14,8,6,3.563501598485003e-05,4.166232684095407e-05,2.987274211857487e-05,3.5635015984850025,4.166232684095407,2.987274211857487
241,202207,1,241,659992.0,324114.0,335878.0,15,11,4,2.272754821270561e-05,3.393867589798651e-05,1.1909086037192076e-05,2.272754821270561,3.393867589798651,1.1909086037192076
242,202207,2,242,390261.0,184113.0,206148.0,5,5,0,1.2811938676936716e-05,2.7157234958965418e-05,0.0,1.2811938676936716,2.7157234958965417,0.0
243,202207,3,243,1069465.0,513826.0,555639.0,25,15,10,2.3376174068342583e-05,2.919276175203279e-05,1.7997296806019734e-05,2.337617406834258,2.919276175203279,1.7997296806019734
244,202207,4,244,252491.0,123378.0,129113.0,8,6,2,3.168429765813435e-05,4.863103632738414e-05,1.5490306940432024e-05,3.168429765813435,4.863103632738413,1.5490306940432024
245,202207,5,245,401520.0,194001.0,207519.0,11,5,6,2.7395895596732417e-05,2.5773063025448323e-05,2.8913015193789483e-05,2.7395895596732416,2.5773063025448324,2.891301519378948
246,202207,6,246,1239208.0,588067.0,651141.0,32,14,18,2.5822944977759987e-05,2.3806811128663912e-05,2.7643782222283653e-05,2.5822944977759987,2.3806811128663914,2.7643782222283653
247,202207,7,247,572346.0,264113.0,308233.0,8,4,4,1.3977559028978975e-05,1.5145032618614002e-05,1.2977195822640665e-05,1.3977559028978974,1.5145032618614003,1.2977195822640664
248,202207,8,248,392872.0,192020.0,200852.0,11,7,4,2.7998941130953594e-05,3.645453598583481e-05,1.9915161412383247e-05,2.7998941130953594,3.645453598583481,1.9915161412383247
249,202208,1,249,659992.0,324114.0,335878.0,14,6,8,2.1212378331858568e-05,1.851200503526537e-05,2.381817207438415e-05,2.1212378331858566,1.8512005035265369,2.381817207438415
250,202208,2,250,390261.0,184113.0,206148.0,7,2,5,1.7936714147711405e-05,1.0862893983586168e-05,2.425441915517007e-05,1.7936714147711406,1.0862893983586168,2.4254419155170073
251,202208,3,251,1069465.0,513826.0,555639.0,23,7,16,2.1506080142875176e-05,1.3623288817615301e-05,2.8795674889631578e-05,2.1506080142875175,1.36232888176153,2.8795674889631577
