PK_LocalidadFecha,PK_Fecha,PK_Localidad,Poblacion_Total,Poblacion_Hombres,Poblacion_Mujeres
355,202309,3,1075140,516520,558620
356,202309,4,252497,123355,129142
357,202309,5,401706,193934,207772
358,202309,6,1244051,591517,652534
359,202309,7,574156,265130,309026
360,202309,8,396861,193917,202944
361,202310,1,667368,327765,339603
362,202310,2,391507,184598,206909
363,202310,3,1075140,516520,558620
364,202310,4,252497,123355,129142
365,202310,5,401706,193934,207772
366,202310,6,1244051,591517,652534
367,202310,7,574156,265130,309026
368,202310,8,396861,193917,202944
369,202311,1,667368,327765,339603
370,202311,2,391507,184598,206909
371,202311,3,1075140,516520,558620
372,202311,4,252497,123355,129142
373,202311,5,401706,193934,207772
374,202311,6,1244051,591517,652534
375,202311,7,574156,265130,309026
376,202311,8,396861,193917,202944
377,202312,1,667368,327765,339603
378,202312,2,391507,184598,206909
379,202312,3,1075140,516520,558620
380,202312,4,252497,123355,129142
381,202312,5,401706,193934,207772
382,202312,6,1244051,591517,652534
383,202312,7,574156,265130,309026
384,202312,8,396861,193917,202944
385,202401,1,674259,331241,343018
386,202401,2,391900,184658,207242
387,202401,3,1078895,518347,560548
388,202401,4,252262,123272,128990
389,202401,5,401769,193852,207917
390,202401,6,1246636,593684,652952
391,202401,7,574260,265343,308917
392,202401,8,400313,195564,204749
393,202402,1,674259,331241,343018
394,202402,2,391900,184658,207242
395,202402,3,1078895,518347,560548
396,202402,4,252262,123272,128990
397,202402,5,401769,193852,207917
398,202402,6,1246636,593684,652952
399,202402,7,574260,265343,308917
400,202402,8,400313,195564,204749
401,202403,1,674259,331241,343018
402,202403,2,391900,184658,207242
403,202403,3,1078895,518347,560548
404,202403,4,252262,123272,128990
405,202403,5,401769,193852,207917
406,202403,6,1246636,593684,652952
407,202403,7,574260,265343,308917
408,202403,8,400313,195564,204749
409,202404,1,674259,331241,343018
410,202404,2,391900,184658,207242
411,202404,3,1078895,518347,560548
412,202404,4,252262,123272,128990
413,202404,5,401769,193852,207917
414,202404,6,1246636,593684,652952
415,202404,7,574260,265343,308917
416,202404,8,400313,195564,204749
417,202405,1,674259,331241,343018
418,202405,2,391900,184658,207242
419,202405,3,1078895,518347,560548
420,202405,4,252262,123272,128990
421,202405,5,401769,193852,207917
422,202405,6,1246636,593684,652952
423,202405,7,574260,265343,308917
424,202405,8,400313,195564,204749
425,202406,1,674259,331241,343018
426,202406,2,391900,184658,207242
427,202406,3,1078895,518347,560548
428,202406,4,252262,123272,128990
429,202406,5,401769,193852,207917
430,202406,6,1246636,593684,652952
431,202406,7,574260,265343,308917
432,202406,8,400313,195564,204749
433,202407,1,674259,331241,343018
434,202407,2,391900,184658,207242
435,202407,3,1078895,518347,560548
436,202407,4,252262,123272,128990
437,202407,5,401769,193852,207917
438,202407,6,1246636,593684,652952
439,202407,7,574260,265343,308917
440,202407,8,400313,195564,204749
441,202408,1,674259,331241,343018
442,202408,2,391900,184658,207242
443,202408,3,1078895,518347,560548
444,202408,4,252262,123272,128990
445,202408,5,401769,193852,207917
446,202408,6,1246636,593684,652952
447,202408,7,574260,265343,308917
448,202408,8,400313,195564,204749
449,202409,1,674259,331241,343018
450,202409,2,391900,184658,207242
451,202409,3,1078895,518347,560548
452,202409,4,252262,123272,128990
453,202409,5,401769,193852,207917
454,202409,6,1246636,593684,652952
455,202409,7,574260,265343,308917
456,202409,8,400313,195564,204749
457,202410,1,674259,331241,343018
458,202410,2,391900,184658,207242
459,202410,3,1078895,518347,560548
460,202410,4,252262,123272,128990
461,202410,5,401769,193852,207917
462,202410,6,1246636,593684,652952
463,202410,7,574260,265343,308917
464,202410,8,400313,195564,204749
465,202411,1,674259,331241,343018
