"Estacion","Fecha inicial","Fecha final","CO"
"""USME""","2025-07-23 16:00","2025-07-23 16:59","228.98"
"""USME""","2025-07-23 15:00","2025-07-23 15:59","171.735"
"""USME""","2025-07-23 14:00","2025-07-23 14:59","217.531"
"""USME""","2025-07-23 13:00","2025-07-23 13:59","171.735"
"""USME""","2025-07-23 12:00","2025-07-23 12:59","217.531"
"""USME""","2025-07-23 11:00","2025-07-23 11:59","240.429"
"""USME""","2025-07-23 10:00","2025-07-23 10:59","194.633"
"""USME""","2025-07-23 09:00","2025-07-23 09:59","274.776"
"""USME""","2025-07-23 08:00","2025-07-23 08:59","206.082"
"""USME""","2025-07-23 07:00","2025-07-23 07:59","435.062"
"""USME""","2025-07-23 06:00","2025-07-23 06:59","538.103"
"""USME""","2025-07-23 05:00","2025-07-23 05:59","503.756"
"""USME""","2025-07-23 04:00","2025-07-23 04:59","228.98"
"""USME""","2025-07-23 03:00","2025-07-23 03:59","137.388"
"""USME""","2025-07-23 02:00","2025-07-23 02:59","125.939"
"""USME""","2025-07-23 01:00","2025-07-23 01:59","137.388"
"""USME""","2025-07-23 00:00","2025-07-23 00:59","171.735"
"""USME""","2025-07-22 23:00","2025-07-22 23:59","228.98"
"""USME""","2025-07-22 22:00","2025-07-22 22:59","183.184"
"""USME""","2025-07-22 21:00","2025-07-22 21:59","480.858"
"""USME""","2025-07-22 20:00","2025-07-22 20:59","709.838"
"""USME""","2025-07-22 19:00","2025-07-22 19:59","824.328"
"""USME""","2025-07-22 18:00","2025-07-22 18:59","503.756"
"""USME""","2025-07-22 17:00","2025-07-22 17:59","618.246"
"""USME""","2025-07-22 16:00","2025-07-22 16:59","469.409"
"""USME""","2025-07-22 15:00","2025-07-22 15:59","320.572"
"""USME""","2025-07-22 14:00","2025-07-22 14:59","251.878"
"""USME""","2025-07-22 13:00","2025-07-22 13:59","251.878"
"""USME""","2025-07-22 12:00","2025-07-22 12:59","194.633"
"""USME""","2025-07-22 11:00","2025-07-22 11:59","183.184"
"""USME""","2025-07-22 10:00","2025-07-22 10:59","183.184"
"""USME""","2025-07-22 09:00","2025-07-22 09:59","309.123"
"""USME""","2025-07-22 08:00","2025-07-22 08:59","423.613"
"""USME""","2025-07-22 07:00","2025-07-22 07:59","652.593"
"""USME""","2025-07-22 06:00","2025-07-22 06:59","1041.859"
"""USME""","2025-07-22 05:00","2025-07-22 05:59","549.552"
"""USME""","2025-07-22 04:00","2025-07-22 04:59","538.103"
"""USME""","2025-07-22 03:00","2025-07-22 03:59","515.205"
"""USME""","2025-07-22 02:00","2025-07-22 02:59","469.409"
"""USME""","2025-07-22 01:00","2025-07-22 01:59","228.98"
"""USME""","2025-07-22 00:00","2025-07-22 00:59","377.817"
"""USME""","2025-07-21 23:00","2025-07-21 23:59","583.899"
"""USME""","2025-07-21 22:00","2025-07-21 22:59","984.614"
"""USME""","2025-07-21 21:00","2025-07-21 21:59","858.675"
"""USME""","2025-07-21 20:00","2025-07-21 20:59","835.777"
"""USME""","2025-07-21 19:00","2025-07-21 19:59","641.144"
"""USME""","2025-07-21 18:00","2025-07-21 18:59","503.756"
"""USME""","2025-07-21 17:00","2025-07-21 17:59","492.307"
"""USME""","2025-07-21 16:00","2025-07-21 16:59","457.96"
"""USME""","2025-07-21 15:00","2025-07-21 15:59","480.858"
"""USME""","2025-07-21 14:00","2025-07-21 14:59","320.572"
"""USME""","2025-07-21 13:00","2025-07-21 13:59","263.327"
"""USME""","2025-07-21 12:00","2025-07-21 12:59","228.98"
"""USME""","2025-07-21 11:00","2025-07-21 11:59","206.082"
"""USME""","2025-07-21 09:00","2025-07-21 09:59","286.225"
"""USME""","2025-07-21 08:00","2025-07-21 08:59","320.572"
"""USME""","2025-07-21 07:00","2025-07-21 07:59","583.899"
"""USME""","2025-07-21 06:00","2025-07-21 06:59","915.92"
"""USME""","2025-07-21 05:00","2025-07-21 05:59","332.021"
"""USME""","2025-07-21 04:00","2025-07-21 04:59","206.082"
"""USME""","2025-07-21 03:00","2025-07-21 03:59","171.735"
"""USME""","2025-07-21 02:00","2025-07-21 02:59","148.837"
"""USME""","2025-07-21 01:00","2025-07-21 01:59","160.286"
