"Estacion","Fecha inicial","Fecha final","SO2"
"""USME""","2025-07-23 10:00","2025-07-23 10:59","10.474"
"""USME""","2025-07-23 09:00","2025-07-23 09:59","15.188"
"""USME""","2025-07-23 08:00","2025-07-23 08:59","11.784"
"""USME""","2025-07-23 07:00","2025-07-23 07:59","8.118"
"""USME""","2025-07-23 06:00","2025-07-23 06:59","12.307"
"""USME""","2025-07-23 05:00","2025-07-23 05:59","5.761"
"""USME""","2025-07-23 04:00","2025-07-23 04:59","6.808"
"""USME""","2025-07-23 03:00","2025-07-23 03:59","10.213"
"""USME""","2025-07-23 02:00","2025-07-23 02:59","8.641"
"""USME""","2025-07-23 01:00","2025-07-23 01:59","13.093"
"""USME""","2025-07-23 00:00","2025-07-23 00:59","7.07"
"""USME""","2025-07-22 23:00","2025-07-22 23:59","6.808"
"""USME""","2025-07-22 22:00","2025-07-22 22:59","9.165"
"""USME""","2025-07-22 21:00","2025-07-22 21:59","4.452"
"""USME""","2025-07-22 20:00","2025-07-22 20:59","1.309"
"""USME""","2025-07-22 19:00","2025-07-22 19:59","2.357"
"""USME""","2025-07-22 18:00","2025-07-22 18:59","3.928"
"""USME""","2025-07-22 16:00","2025-07-22 16:59","1.309"
"""USME""","2025-07-22 15:00","2025-07-22 15:59","3.928"
"""USME""","2025-07-22 14:00","2025-07-22 14:59","7.856"
"""USME""","2025-07-22 13:00","2025-07-22 13:59","6.808"
"""USME""","2025-07-22 12:00","2025-07-22 12:59","8.641"
"""USME""","2025-07-22 11:00","2025-07-22 11:59","5.761"
"""USME""","2025-07-22 10:00","2025-07-22 10:59","6.808"
"""USME""","2025-07-22 09:00","2025-07-22 09:59","7.07"
"""USME""","2025-07-22 08:00","2025-07-22 08:59","1.571"
"""USME""","2025-07-22 07:00","2025-07-22 07:59","4.452"
"""USME""","2025-07-22 06:00","2025-07-22 06:59","5.499"
"""USME""","2025-07-22 05:00","2025-07-22 05:59","5.237"
"""USME""","2025-07-22 04:00","2025-07-22 04:59","3.142"
"""USME""","2025-07-22 03:00","2025-07-22 03:59","2.095"
"""USME""","2025-07-22 02:00","2025-07-22 02:59","1.571"
"""USME""","2025-07-22 01:00","2025-07-22 01:59","4.713"
"""USME""","2025-07-22 00:00","2025-07-22 00:59","4.713"
"""USME""","2025-07-21 23:00","2025-07-21 23:59","4.713"
"""USME""","2025-07-21 22:00","2025-07-21 22:59","3.928"
"""USME""","2025-07-21 21:00","2025-07-21 21:59","7.332"
"""USME""","2025-07-21 20:00","2025-07-21 20:59","7.332"
"""USME""","2025-07-21 19:00","2025-07-21 19:59","38.232"
"""USME""","2025-07-21 18:00","2025-07-21 18:59","28.019"
"""USME""","2025-07-21 17:00","2025-07-21 17:59","19.378"
"""USME""","2025-07-21 16:00","2025-07-21 16:59","12.307"
"""USME""","2025-07-21 15:00","2025-07-21 15:59","7.594"
"""USME""","2025-07-21 14:00","2025-07-21 14:59","14.926"
"""USME""","2025-07-21 13:00","2025-07-21 13:59","7.856"
"""USME""","2025-07-21 12:00","2025-07-21 12:59","5.761"
"""USME""","2025-07-21 11:00","2025-07-21 11:59","7.594"
"""USME""","2025-07-21 10:00","2025-07-21 10:59","6.546"
"""USME""","2025-07-21 08:00","2025-07-21 08:59","7.856"
"""USME""","2025-07-21 07:00","2025-07-21 07:59","3.142"
"""USME""","2025-07-21 06:00","2025-07-21 06:59","3.404"
"""USME""","2025-07-21 05:00","2025-07-21 05:59","3.404"
"""USME""","2025-07-21 04:00","2025-07-21 04:59","3.404"
"""USME""","2025-07-21 03:00","2025-07-21 03:59","7.332"
"""USME""","2025-07-21 02:00","2025-07-21 02:59","5.499"
"""USME""","2025-07-21 01:00","2025-07-21 01:59","3.404"
"""USME""","2025-07-21 00:00","2025-07-21 00:59","3.142"
"""USME""","2025-07-20 23:00","2025-07-20 23:59","9.951"
"""USME""","2025-07-20 22:00","2025-07-20 22:59","40.85"
"""USME""","2025-07-20 21:00","2025-07-20 21:59","18.854"
"""USME""","2025-07-20 20:00","2025-07-20 20:59","10.213"
"""USME""","2025-07-20 19:00","2025-07-20 19:59","15.712"
"""USME""","2025-07-20 18:00","2025-07-20 18:59","35.875"
"""USME""","2025-07-20 17:00","2025-07-20 17:59","13.355"
"""USME""","2025-07-20 16:00","2025-07-20 16:59","8.118"
"""USME""","2025-07-20 15:00","2025-07-20 15:59","11.522"
"""USME""","2025-07-20 14:00","2025-07-20 14:59","9.951"
"""USME""","2025-07-20 13:00","2025-07-20 13:59","6.285"
"""USME""","2025-07-20 12:00","2025-07-20 12:59","5.499"
"""USME""","2025-07-20 11:00","2025-07-20 11:59","5.499"
"""USME""","2025-07-20 10:00","2025-07-20 10:59","5.499"
"""USME""","2025-07-20 09:00","2025-07-20 09:59","1.309"
"""USME""","2025-07-20 08:00","2025-07-20 08:59","3.404"
"""USME""","2025-07-20 07:00","2025-07-20 07:59","10.213"
"""USME""","2025-07-20 06:00","2025-07-20 06:59","2.619"
"""USME""","2025-07-20 05:00","2025-07-20 05:59","1.833"
"""USME""","2025-07-20 04:00","2025-07-20 04:59","1.571"
"""USME""","2025-07-20 03:00","2025-07-20 03:59","1.571"
"""USME""","2025-07-20 02:00","2025-07-20 02:59","6.546"
"""USME""","2025-07-20 01:00","2025-07-20 01:59","2.095"
"""USME""","2025-07-20 00:00","2025-07-20 00:59","12.046"
"""USME""","2025-07-19 23:00","2025-07-19 23:59","4.452"
"""USME""","2025-07-19 22:00","2025-07-19 22:59","2.619"
"""USME""","2025-07-19 21:00","2025-07-19 21:59","2.619"
"""USME""","2025-07-19 20:00","2025-07-19 20:59","1.571"
"""USME""","2025-07-19 19:00","2025-07-19 19:59","2.095"
"""USME""","2025-07-19 18:00","2025-07-19 18:59","14.14"
"""USME""","2025-07-19 17:00","2025-07-19 17:59","12.569"
"""USME""","2025-07-19 16:00","2025-07-19 16:59","7.594"
"""USME""","2025-07-19 15:00","2025-07-19 15:59","14.402"
"""USME""","2025-07-19 14:00","2025-07-19 14:59","12.307"
"""USME""","2025-07-19 13:00","2025-07-19 13:59","12.046"
"""USME""","2025-07-19 12:00","2025-07-19 12:59","10.474"
"""USME""","2025-07-19 11:00","2025-07-19 11:59","6.285"
"""USME""","2025-07-19 10:00","2025-07-19 10:59","3.666"
"""USME""","2025-07-19 09:00","2025-07-19 09:59","3.404"
"""USME""","2025-07-19 08:00","2025-07-19 08:59","3.404"
"""USME""","2025-07-19 07:00","2025-07-19 07:59","5.499"
"""USME""","2025-07-19 06:00","2025-07-19 06:59","4.713"
"""USME""","2025-07-19 05:00","2025-07-19 05:59","5.499"
"""USME""","2025-07-19 04:00","2025-07-19 04:59","3.404"
"""USME""","2025-07-19 03:00","2025-07-19 03:59","6.023"
"""USME""","2025-07-19 02:00","2025-07-19 02:59","3.142"
"""USME""","2025-07-19 01:00","2025-07-19 01:59","2.357"
"""USME""","2025-07-19 00:00","2025-07-19 00:59","2.88"
"""USME""","2025-07-18 23:00","2025-07-18 23:59","3.142"
"""USME""","2025-07-18 22:00","2025-07-18 22:59","1.571"
"""USME""","2025-07-18 21:00","2025-07-18 21:59","1.571"
"""USME""","2025-07-18 20:00","2025-07-18 20:59","3.404"
"""USME""","2025-07-18 19:00","2025-07-18 19:59","3.142"
"""USME""","2025-07-18 18:00","2025-07-18 18:59","5.499"
"""USME""","2025-07-18 17:00","2025-07-18 17:59","7.07"
"""USME""","2025-07-18 16:00","2025-07-18 16:59","6.285"
"""USME""","2025-07-18 15:00","2025-07-18 15:59","4.19"
"""USME""","2025-07-18 14:00","2025-07-18 14:59","4.19"
"""USME""","2025-07-18 13:00","2025-07-18 13:59","4.19"
"""USME""","2025-07-18 12:00","2025-07-18 12:59","3.404"
"""USME""","2025-07-18 11:00","2025-07-18 11:59","3.404"
"""USME""","2025-07-18 10:00","2025-07-18 10:59","3.666"
"""USME""","2025-07-18 09:00","2025-07-18 09:59","3.142"
"""USME""","2025-07-18 08:00","2025-07-18 08:59","2.619"
"""USME""","2025-07-18 07:00","2025-07-18 07:59","4.975"
"""USME""","2025-07-18 06:00","2025-07-18 06:59","6.023"
"""USME""","2025-07-18 05:00","2025-07-18 05:59","6.808"
"""USME""","2025-07-18 04:00","2025-07-18 04:59","8.641"
"""USME""","2025-07-18 03:00","2025-07-18 03:59","6.285"
"""USME""","2025-07-18 02:00","2025-07-18 02:59","3.666"
"""USME""","2025-07-18 01:00","2025-07-18 01:59","3.928"
"""USME""","2025-07-18 00:00","2025-07-18 00:59","5.499"
"""USME""","2025-07-17 23:00","2025-07-17 23:59","8.641"
"""USME""","2025-07-17 22:00","2025-07-17 22:59","7.856"
"""USME""","2025-07-17 21:00","2025-07-17 21:59","10.736"
"""USME""","2025-07-17 20:00","2025-07-17 20:59","17.283"
"""USME""","2025-07-17 19:00","2025-07-17 19:59","8.903"
"""USME""","2025-07-17 18:00","2025-07-17 18:59","8.903"
"""USME""","2025-07-17 17:00","2025-07-17 17:59","8.903"
"""USME""","2025-07-17 16:00","2025-07-17 16:59","8.38"
"""USME""","2025-07-17 15:00","2025-07-17 15:59","6.285"
"""USME""","2025-07-17 14:00","2025-07-17 14:59","3.404"
"""USME""","2025-07-17 13:00","2025-07-17 13:59","2.88"
"""USME""","2025-07-17 12:00","2025-07-17 12:59","2.619"
"""USME""","2025-07-17 11:00","2025-07-17 11:59","4.452"
"""USME""","2025-07-17 10:00","2025-07-17 10:59","2.095"
"""USME""","2025-07-17 09:00","2025-07-17 09:59","2.619"
"""USME""","2025-07-17 08:00","2025-07-17 08:59","3.404"
"""USME""","2025-07-17 07:00","2025-07-17 07:59","2.88"
"""USME""","2025-07-17 06:00","2025-07-17 06:59","2.357"
"""USME""","2025-07-17 05:00","2025-07-17 05:59","2.619"
"""USME""","2025-07-17 04:00","2025-07-17 04:59","11.26"
"""USME""","2025-07-17 03:00","2025-07-17 03:59","7.332"
"""USME""","2025-07-17 02:00","2025-07-17 02:59","10.998"
"""USME""","2025-07-17 01:00","2025-07-17 01:59","7.856"
"""USME""","2025-07-17 00:00","2025-07-17 00:59","10.998"
"""USME""","2025-07-16 23:00","2025-07-16 23:59","13.355"
"""USME""","2025-07-16 22:00","2025-07-16 22:59","11.26"
"""USME""","2025-07-16 21:00","2025-07-16 21:59","3.404"
"""USME""","2025-07-16 20:00","2025-07-16 20:59","2.357"
"""USME""","2025-07-16 19:00","2025-07-16 19:59","1.571"
"""USME""","2025-07-16 18:00","2025-07-16 18:59","1.571"
"""USME""","2025-07-16 17:00","2025-07-16 17:59","10.213"
"""USME""","2025-07-16 16:00","2025-07-16 16:59","15.712"
"""USME""","2025-07-16 15:00","2025-07-16 15:59","9.689"
"""USME""","2025-07-16 14:00","2025-07-16 14:59","4.452"
"""USME""","2025-07-16 13:00","2025-07-16 13:59","4.19"
"""USME""","2025-07-16 12:00","2025-07-16 12:59","4.19"
"""USME""","2025-07-16 11:00","2025-07-16 11:59","5.237"
"""USME""","2025-07-16 10:00","2025-07-16 10:59","3.142"
"""USME""","2025-07-16 09:00","2025-07-16 09:59","8.38"
"""USME""","2025-07-16 08:00","2025-07-16 08:59","5.237"
"""USME""","2025-07-16 07:00","2025-07-16 07:59","14.14"
"""USME""","2025-07-16 06:00","2025-07-16 06:59","7.07"
"""USME""","2025-07-16 05:00","2025-07-16 05:59","5.237"
"""USME""","2025-07-16 04:00","2025-07-16 04:59","2.88"
"""USME""","2025-07-16 03:00","2025-07-16 03:59","10.736"
"""USME""","2025-07-16 02:00","2025-07-16 02:59","15.188"
"""USME""","2025-07-16 01:00","2025-07-16 01:59","14.926"
"""USME""","2025-07-16 00:00","2025-07-16 00:59","29.066"
"""USME""","2025-07-15 23:00","2025-07-15 23:59","33.78"
"""USME""","2025-07-15 22:00","2025-07-15 22:59","37.97"
"""USME""","2025-07-15 21:00","2025-07-15 21:59","24.615"
"""USME""","2025-07-15 20:00","2025-07-15 20:59","3.404"
"""USME""","2025-07-15 19:00","2025-07-15 19:59","2.095"
"""USME""","2025-07-15 18:00","2025-07-15 18:59","15.973"
"""USME""","2025-07-15 17:00","2025-07-15 17:59","14.402"
"""USME""","2025-07-15 16:00","2025-07-15 16:59","9.427"
"""USME""","2025-07-15 15:00","2025-07-15 15:59","8.641"
"""USME""","2025-07-15 14:00","2025-07-15 14:59","7.856"
"""USME""","2025-07-15 13:00","2025-07-15 13:59","6.546"
"""USME""","2025-07-15 12:00","2025-07-15 12:59","5.237"
"""USME""","2025-07-15 11:00","2025-07-15 11:59","3.666"
"""USME""","2025-07-15 10:00","2025-07-15 10:59","1.571"
"""USME""","2025-07-15 09:00","2025-07-15 09:59","2.095"
"""USME""","2025-07-15 08:00","2025-07-15 08:59","2.095"
"""USME""","2025-07-15 07:00","2025-07-15 07:59","2.619"
"""USME""","2025-07-15 06:00","2025-07-15 06:59","2.619"
"""USME""","2025-07-15 05:00","2025-07-15 05:59","5.499"
"""USME""","2025-07-15 04:00","2025-07-15 04:59","11.26"
"""USME""","2025-07-15 03:00","2025-07-15 03:59","12.046"
"""USME""","2025-07-15 02:00","2025-07-15 02:59","8.903"
"""USME""","2025-07-15 01:00","2025-07-15 01:59","3.404"
"""USME""","2025-07-15 00:00","2025-07-15 00:59","2.357"
"""USME""","2025-07-14 17:00","2025-07-14 17:59","3.666"
"""USME""","2025-07-14 15:00","2025-07-14 15:59","1.571"
"""USME""","2025-07-14 14:00","2025-07-14 14:59","4.452"
"""USME""","2025-07-14 13:00","2025-07-14 13:59","4.19"
"""USME""","2025-07-14 12:00","2025-07-14 12:59","6.285"
"""USME""","2025-07-14 11:00","2025-07-14 11:59","6.285"
"""USME""","2025-07-14 10:00","2025-07-14 10:59","5.237"
"""USME""","2025-07-14 06:00","2025-07-14 06:59","4.19"
"""USME""","2025-07-14 05:00","2025-07-14 05:59","3.142"
"""USME""","2025-07-14 04:00","2025-07-14 04:59","2.357"
"""USME""","2025-07-14 03:00","2025-07-14 03:59","2.619"
"""USME""","2025-07-14 02:00","2025-07-14 02:59","3.142"
"""USME""","2025-07-14 01:00","2025-07-14 01:59","1.833"
"""USME""","2025-07-14 00:00","2025-07-14 00:59","4.452"
"""USME""","2025-07-13 23:00","2025-07-13 23:59","2.095"
"""USME""","2025-07-13 22:00","2025-07-13 22:59","2.357"
"""USME""","2025-07-13 21:00","2025-07-13 21:59","9.165"
"""USME""","2025-07-13 20:00","2025-07-13 20:59","4.975"
